-'s	của
presidium	đoàn chủ tịch
press conference	họp báo
press release	thông cáo báo chí
press	báo chí
press	ấn
press	ép
press	nhấn
pressure cooker	nồi áp suất
pressure	áp lực
prestige	uy tín
prestige	thanh thế
preta	ma đói
preta	ngạ quỷ
pretend	giả vờ
pretense	giả tạo
pretext	cớ
pretext	mượn cớ
Pretoria	Prê-tô-ri-a
Pretoria	Pri-tơ-ri-a
pretty	xinh xắn
pretty	xinh
pretty	khá
prevalent	thường gặp
prevalent	thường thấy
prevalent	thông thường
prevalent	thông dụng
prevalent	phổ biến
prevalent	thịnh hành
previous	qua
prey	mồi
priapism	chứng cương đau
price	giá
price	giá cả
prickle	gai
prickly lettuce	nhũ diệp đầu tên
pride comes before a fall	trèo cao ngã đau
priest	mục sư
priest	linh mục
primary education	tiểu học
primary school	trường tiểu học
primary	sơ cấp
primary	sơ bộ
primary	sơ đẳng
primary	chủ yếu
primary	chính
primary	chính yếu
primary	bậc nhất
primary	bầu cử sơ bộ
primate	tổng giám mục
primate	động vật có tay
primate	động vật linh trưởng
prime meridian	kinh tuyến gốc
prime minister	thủ tướng
prime number	số nguyên tố
primer	sách vỡ lòng
Prince Charming	bạch mã hoàng tử
prince	hoàng tử
prince	vương tử
princess	công chúa
princess	bà chúa
princess	công nữ
principal	chủ yếu
principal	chính
principal	hiệu trưởng
principality	công quốc
principle	nguyên lí
principle	nguyên tắc
print	in
print	chư in
printed circuit board	bảng mạch in
printed circuit board	bo mạch in
printed circuit board	mạch in
printer	máy in
printing house	nhà in
printing house	xưởng in
printing house	nhà máy in
printing	in ấn
priority	ưu tiên
prism	lăng kính
prism	hình lăng trụ
prison guard	cai ngục
prison	tù
prison	nhà tù
prisoner of war	tù binh
prisoner	tù nhân
Pristina	Pri-xti-na
privacy	sự riêng tư
private	riêng tư
privatization	tư nhân hóa
privilege	đặc quyền
prize money	tiền giải thưởng
prize	giải thưởng
prize	giải
pro tem	tạm quyền
pro	ưu điểm
pro	thuận
probability	xác suất
probability	khả năng
probably	có lẽ
probably	có thể
probe	thăm dò
problem	vấn đề
procedural	theo thủ tục
procedure	thủ tục
procedure	phương pháp
proceeds	doanh thu
proceeds	lãi
proceeds	lời
process	qui trình
process	quá trình
process	tiến hành
processor	bộ xử lý
procrastination	trì hoãn
produce	sản xuất
produce	chế tạo
product	sản phẩm
product	hàng hoá
product	tích
production	sản xuất
profession	nghề
profession	nghề nghiệp
professional	chuyên gia
professional	chuyên nghiệp
professor	giáo sư
profit	lợi nhuận
profit	lời
prognosis	chẩn đoán
prognosis	dự đoán
program	chương trình
program	kế hoạch
programmer	lập trình viên
programming language	ngôn ngữ lập trình
programming	lập trình
progress	tiến bộ
progressivism	chủ nghĩa tiến bộ
prohibition	cấm
prohibition	cấm chỉ
project	kế hoạch
project	đề án
project	dự án
projector	máy chiếu
prokaryote	sinh vật nhân sơ
proletarian	vô sản
proletarian	người vô sản
proletariat	giai cấp vô sản
Prometheus	Prometheus
promethium	prometi
prominent	nổi bật
promise	lời hứa
promise	hứa
Promised Land	đất hứa
promote	thăng chức
promote	lên chức
prone	úp
prone	sấp
pronoun	đại từ
pronounce	phát âm
pronunciation	phát âm
pronunciation	đọc
proof	bằng chứng
propaganda	tuyên truyền
propeller	cánh quạt
propeller	chân vịt
proper noun	danh từ riêng
properly	tử tế
property	sở hữu
property	tài sản
prophecy	tiên tri
prophet	tiên tri
propiska	dấu đăng kí
propiska	đăng ký
propiska	đăng ký cư trú
propolis	keo ong
proportion	tỉ lệ
propose	đề nghị
propose	đề xuất
propose	gợi ý
proposition	mệnh đề
proposition	kiến nghị
proposition	đề nghị
proposition	đề án
prose	văn xuôi
prosecutor	công tố viên
prosecutor	người khởi tố
prosecutor	bên nguyên
prosecutor	biện lý
prosperous	phồn vinh
prostate	nhiếp hộ tuyến
prostate	tuyến tiền liệt
prostitute	đĩ
prostitute	điếm
prostitute	gái mại dâm
prostitution	mại dâm
prostrate	nằm úp
prostrate	nằm sấp
protactinium	protactini
protagonist	nam chính
protagonist	nữ chính
protagonist	nhân vật chính
protect	bảo vệ
protection money	bảo kê
protectionism	bảo hộ mậu dịch
protein	protein
protein	prô-tê-in
protein	chất đạm
protein	prôtêin
protest	biểu
protest	cuộc biểu
protest	phản
protest	sự phản
protest	kháng
protest	sự kháng
protest	phản đối
protest	phản kháng
protest	cam đoan
protest	biểu tình
Protestant	Tin Lành
Protestantism	Tin Lành
Protestantize	Tin Lành hóa
Protestantize	Tin Lành hoá
protester	người biểu tình
protist	sinh vật đơn bào
proto-language	ngôn ngữ nguyên thủy
proto-language	ngôn ngữ tổ tiên chung
protocol	giao thức
proton	proton
protostome	động vật miệng nguyên sinh
proud	tự hào
proud	hãnh diện
prove	chứng minh
Provence	Provence
proverb	tục ngữ
provide	kiếm tiền
provide	quy định
provide	cung cấp
province	tỉnh
province	tỉnh bang
province	giáo tỉnh
provincial capital	tỉnh lỵ
provincial capital	tỉnh lị
provincial capital	tỉnh
provincial	giám tỉnh
prow	mũi
proxy war	chiến tranh ủy nhiệm
Prussia	Phổ
Prussia	Phổ Lỗ Sĩ
Prussianize	Phổ hóa
psalm	thánh ca
psalm	thánh thi
pseudonym	biệt hiệu
pseudonym	bút danh
pseudonym	tên chữ
pseudonym	tên tự
pseudoscience	ngụy khoa học
pseudoscience	giả khoa học
pshaw	xì
psst	suỵt
psst	xuỵt
psychiatrist	nhà tâm thần học
psychiatry	tâm thần học
psychically	siêu linh
psychological warfare	chiến tranh tâm lý
psychologist	bắc sĩ tâm lý
psychologist	nhà tâm lý học
psychology	tâm lý học
psychopathy	bệnh nhân cách
psychotherapy	tâm lý trị liệu
pub	quán rượu
pub	tiệm rượu
pub	tửu quán
puberty	dậy thì
pubic hair	lông mu
public domain	phạm vi công cộng
public opinion	ý kiến công chúng
public transport	giao thông công cộng
public works	công chính
public	công cộng
public	công chúng
public	xã hội
publish	đăng
publish	công bố
publish	xuất bản
publisher	người xuất bản
publisher	nhà xuất bản
publishing house	nhà xuất bản
puddle	vũng
puddle	hũm
Puducherry	Puducherry
Puebla	Puebla
Puerto Galera	Puerto Galera
Puerto Rico	Pu-éc-tô Ri-cô
puff pastry	bột nhào nở
puffy	sưng vù
pull someone's leg	nói sạo
pull	kéo
pull	giật
pull	lôi
pulley	ròng rọc
pullover	len có nón
pullover	len chui đầu
pullover	pu-lơ-vơ
pulmonary tuberculosis	lao phổi
pulmonology	khoa hô hấp
pulpit	tòa giảng
pulpit	toà giảng
pulpit	giảng đài
pulpit	bục giảng
pulsar	sao xung
pulse	mạch
pumice	đá bọt
pump	bơm
pump	đổ
pumpkin	bí ngô
pumpkin	bí đỏ
punch	cú đấm
punch	đấm
punctuation mark	dấu chấm câu
punctuation mark	dấu chấm
punctuation	chấm câu
pungent	hăng
pungent	gắt
punish	phạt
punish	trừng phạt
punisher	kẻ trừng phạt
punishment	hình phạt
punishment	trừng trị
punishment	phạt
pupa	nhộng
pupil	học sinh
pupil	học trò
pupil	ngươi
pupil	đồng tử
puppet army	ngụy quân
puppet government	chính phủ bù nhìn
puppet	con rối
puppet	bù nhìn
puppy	chó con
puppy	cún
puppy	cún con
purchasing power parity	sức mua tương đương
pure land	tịnh độ
Pure Land	Tịnh độ tông
pure	thuần khiết
purge	thanh trừng
purity	sự thuần khiết
purlicue	hổ khẩu
purple state	tiểu bang tím
purple state	bang tím
purple yam	khoai mỡ
purple yam	khoai tím
purple yam	khoai tía
purple	đỏ tía
purple	màu tím
purple	tía
purr	gừ gừ
purr	rừ rừ
purr	khò khò
purse	ví tiền
purse	ví
purse	bóp
pus	mủ
push	chuyển giao
push	đẩy lên
push	xô
push	đẩy
push-button	nút bấm
push-up	hít đất
pussy	lồn
put on	mặc vào
put on	đeo vào
put on	đi vào
put out	dập
put words in someone's mouth	nhét chữ vào mồm
put words in someone's mouth	nhét chữ vào miệng
put	để
put	đặt
Putin	Pu-tin
Putinism	chủ nghĩa Pu-chin
Putonghua	tiếng phổ thông
Putonghua	tiếng
Putonghua	普通
Putonghua	phổ thông thoại
Putrajaya	Putrajaya
puttee	xà cạp
puzzle	bối rối
puzzle	khó xử
puzzle	câu đố
pyinkado	căm xe
Pyongyang	Bình Nhưỡng
pyramid	kim tự tháp
Pythagoras	Pytago
Pythagorean theorem	định lí Pi-ta-go
python	trăn
Python	Python
pâté	ba tê
pétanque	bi sắt
Q fever	bệnh sốt Q
Qatar	Ca-ta
qigong	khí công
qilin	kì lân
qilin	kỳ lân
Qing dynasty	Nhà Thanh
Qingdao	Thanh Đảo
Qinghai	Thanh Hải
qipao	xường xám
Qiqihar	Tề Tề Cáp Nhĩ
Qitaihe	Thất Đài Hà
QR code	mã quét hai chiều
QR code	mã hai chiều
QR code	mã QR
quack	lang băm
quack	cạc cạc
quack	cạp cạp
quadrilateral	hình tứ giác
quail	cút
quail	cun cút
qualified immunity	miễn trừ có điều kiện
qualify	vượt qua vòng loại
qualitative analysis	phân tích định tính
qualitative	định tính
qualitative	tính chất
qualitative	chất
qualitative	phẩm chất
quality control	kiểm tra chất lượng
quality	chất lượng
quantifier	lượng từ
quantitative analysis	phân tích định lượng
quantitative	định lượng
quantitative	lượng
quantitative	số lượng
quantity	lượng
quantity	số lượng
quantum computing	điện toán lượng tử
quantum entanglement	vướng mắc lượng tử
quantum field theory	lý thuyết trường lượng tử
quantum mechanics	cơ học lượng tử
quantum number	số lượng tử
quantum physics	vật lý lượng tử
quantum state	trạng thái lượng tử
quantum	lượng tử
quantum	số lượng
quantum	lượng
quantum	khối lượng
Quanzhou	Tuyền Châu
Quanzhou	Toàn Châu
quarantine	cách ly
quarantine	kiểm dịch
quarantine	phong tỏa kiểm dịch
quarantine	phong tỏa dịch bệnh
quarantine	thời gian cách ly
quarantine	thời gian kiểm dịch
quarantine	khu cách ly
quarantine	khu kiểm dịch
quarantine	phong tỏa
quark	quắc
quarrel	cãi cọ
quarrel	cãi vã
quarry	mỏ đá
quarter	phần tư
quarterfinal	tứ kết
quarterly	quý san
quartz	thạch anh
quasar	chuẩn tinh
Quaternary	kỉ Đệ Tứ
quatrain	thơ bốn câu
quay	ke
quay	bờ xây
Quebec	Quê-béc
queen bee	ong chúa
queen consort	hoàng hậu
queen dowager	vương thái hậu
queen mother	hoàng thái hậu
queen mother	thái hậu
queen of clubs	đầm chuồn
queen of diamonds	đầm rô
queen of hearts	đầm cơ
queen of spades	đầm bích
queen regnant	nữ vương
queen	hậu
queen	quân hậu
queen	nữ hoàng
queen	bà hoàng
queen	bà chúa
queen	nữ vương
queen	đam
queen	quân đam
queen	hoàng hậu
queen	vợ vua
queen	quý phi
queen	đăng quang
queen	chọn làm hoàng hậu
queen	chọn làm nữ hoàng
question mark	dấu hỏi
question mark	dấu chấm hỏi
question	câu hỏi
questionnaire	bản câu hỏi
questionnaire	bảng câu hỏi
queue	tóc đuôi sam
queue	nối đuôi
queue	sắp hàng
Quezon City	Thành phố Quezon
quick	nhanh
quickly	nhanh
quickly	mau
quickly	lẹ
quicksilver	thuỷ ngân
quicksilver	thủy ngân
Quidditch	Quidditch
Quidditch	Quít-đit
quiet	yên tĩnh
quiet	im lặng
quilt	duvet
quince	mộc qua
quintet	ngũ tấu
quit	từ chức
quit	bỏ việc
quit	bỏ
quite	khá
Quito	Ki-tô
quiver	ống tên
quiver	bao tên
quiz	thi
quiz	bài thi
quiz	đố vui
quoll	mèo túi
quoll	cầy túi
quotation marks	dấu ngoặc kép
quotation marks	ngoặc kép
quote unquote	nháy nháy
quote	trích dẫn
quote	trích
quotidian	tầm thường
quotient	thương số
quotient	thương
Qur'an	kinh Qur'an
Qur'an	kinh Koran
Qur'an	kinh thánh Hồi giáo
Quy Nhơn	Quy Nhơn
Quảng Bình	Quảng Bình
Quảng Nam	Quảng Nam
Quảng Ngãi	Quảng Ngãi
Quảng Ninh	Quảng Ninh
Quảng Trị	Quảng Trị
Rabat	Ra-bát
rabbit	thỏ
rabies	dại
rabies	bệnh dại
raccoon dog	lửng chó
raccoon	gấu mèo
raccoon	gấu trúc Mỹ
race car	xe đua
race to the bottom	đua xuống đáy
race	nòi
race	chủng tộc
race	đua
racism	chủ nghĩa phân biệt chủng tộc
racist	người phân biệt chủng tộc
racket	vợt
radar gun	súng bắn tốc độ
radar gun	súng radar
radar	ra đa
Rade	tiếng Ê-đê
radiation	phóng xạ
radiation	bức xạ
radiator	ra-đi-a-tơ
radiator	cái lò sưởi
radical	bộ thủ
radicalism	chủ nghĩa cấp tiến
radio astronomy	thiên văn vô tuyến
radio station	đài phát thanh
radio telescope	kính viễn vọng vô tuyến
radio wave	sóng vô tuyến
radio	ra-đi-ô
radio	máy thu thanh
radio	truyền thanh
radio	vô tuyến truyền thanh
radio	vô tuyến điện
radioactive waste	chất thải phóng xạ
radioactivity	sự phóng xạ
radish	củ cải
radium	rađi
radius	xương quay
radius	bán kính
radix	cơ số
radon	rađơn
raffle	xổ số
raft	bè
rag doll	búp bê bằng giẻ rách
rag doll	con búp bê rách rưới
rag	giẻ
rage	thịnh nộ
ragout	ragu
ragworm	rươi
Rahula	La-hầu-la
railroad car	toa
railroad car	toa tàu
railroad car	toa xe
railway station	nhà ga
railway station	nhà ga hành khách
railway station	ga
railway station	bến tàu hỏa
railway	đường sắt
railway	đường ray
rain cats and dogs	mưa
rain cats and dogs	trời mưa
rain cloud	mây mưa
rain	mưa
rainbow	cầu vồng
raincoat	áo mưa
raindrop	giọt mưa
rainfall	lượng mưa
rainforest	rừng mưa
rainstorm	mưa bão
rainy season	mùa mưa
rainy	trời mưa
rainy	có mưa
raise	nuôi
raisin	nho khô
Rajasthani	Tiếng Rajasthan
rake	bồ cào
rake	bừa cỏ
rake	bù cào
rake	cào
rakshasa	La Sát
rally	vận động
rally	mít tinh
ram	cừu đực
RAM	bộ nhớ
Ramadan	ra-ma-đan
rambutan	chôm chôm
ranch	điền trang
random access memory	bộ nhớ truy cập ngẫu nhiên
random sample	mẫu ngẫu nhiên
random	ngẫu nhiên
rank	hàm
rank	cấp
ransomware	phần mềm tống tiền
rape	cưỡng hiếp
rape	hiếp dâm
rape	hãm hiếp
rape	cưỡng dâm
rapeseed	cải dầu
rapeseed	hạt cải dầu
rapprochement	hòa giải
rare earth element	đất hiếm
rare earth element	các nguyên tố đất hiếm
rare earth	đất hiếm
rare	hiếm
raspberry	mâm xôi
raster graphics	đồ họa raster
raster graphics	bitmap
rat poison	thuốc diệt chuột
rat	chuột
rate	tỷ suất
rather than	chứ không phải
rather than	hơn là
rather than	thay vì
rather	khá
ratio	tỉ lệ
rational number	số hữu tỉ
rational	hợp lí
rational	hợp lý
rattan	mây
rattan	song
rattle	lách cách
rattle	lạch cạch
rattle	rung lách cách
rattle	rung lạch cạch
rattlesnake	rắn chuông
rattlesnake	rắn đuôi chuông
rattrap	bẫy chuột
raw material	nguyên liệu
raw	sống
ray	tia
ray	cá đuối
razor blade	dao lam
razor blade	lưỡi lam
razor	dao cạo
razor	dao cạo điện
re-	lại
reach	với
reaction	phản ứng
reactionary	phản động
reactionary	người phản động
reactor	lò phản ứng
read	viết
read	ghi
read	chỉ
read	đề
read	đọc
read	học
read	nghiên cứu
read-only memory	bộ nhớ chỉ đọc
read-only	chỉ-đọc
read-only	chỉ đọc
read-write	đọc-ghi
read-write	đọc ghi
reading glasses	kính đọc sách
reading	đọc
ready	sẵn sàng
real estate	bất động sản
real estate	địa ốc
real number	số thực
real time	tức thời
real	thật
real-time	tức thời
reality television	truyền hình thực tế
reality	thực tại
reality	thực tế
reality	hiện thực
realize	nhận ra
really	thật sự
really	rất
really	thật sao?
really	vậy à?
really	thế à?
realtor	địa ốc viên
realtor	chuyên viên địa ốc
realtor	chuyên viên bất động sản
reap what one sows	gieo gió
reap what one sows	gặt bão
reap what one sows	gieo nhân nào
reap what one sows	gặt quả ấy
reap what one sows	gieo nhân nào gặt quả nấy
reap	gặt
rear	nuôi
rear	nuôi nấng
rear	nâng
rearguard	đạo quân hậu tập
reason	lý trí
reason	lý do
reason	nguyên nhân
rebel	người nổi loạn
rebel	người phiến loạn
rebellion	khởi nghĩa
rebellion	nổi dậy
reboot	khởi động lại
rebroadcast	phát lại
rebuff	cự tuyệt
rebuild	xây lại
rebuild	xây dựng lại
receipt	biên nhận
receipt	biên lai
receive	nhận
receive	lĩnh
receive	thu
receiver	ống nghe
receiver	ống nói
receiver	ống điện thoại
recent	gần đây
recently	gần đây
recently	mới đây
recently	dạo này
reception	phòng lễ tân
reception	quầy lễ tân
receptionist	tiếp tân
recession	suy sút
recession	suy thoái
recessive	lặn
recipe	công thức
recipe	công thức nấu ăn
reckless	bất cẩn
reckon	tính toán
recognition	công nhận
recommend	giới thiệu
recommend	đề nghị
recommendation	giới thiệu
recommendation	tiến cử
reconstruct	phục dựng
record player	máy hát
record	kỉ lục
record	đĩa than
record	đĩa hát
record	đĩa nhạc
record	đĩa
recorder	máy ghi âm
recorder	máy ghi hình
recorder	máy quay
recording	ghi âm
recover	khỏi
recover	phục hồi
recover	lấy lại
recover	giành lại
recover	kiếm lại
recover	tìm lại được
recreation	tiêu khiển
recruit	lính mới
recruit	tuyển dụng
rectangle	hình chữ nhật
rectory	nhà xứ
rectum	ruột thẳng
rectum	trực tràng
recursion	đệ quy
recycle bin	thùng rác
recycle	tái chế
Red Army	hồng quân
red blood cell	hồng cầu
red blood cell	hồng huyết cầu
red card	thẻ đỏ
red carpet	thảm đỏ
Red Crescent	Trăng lưỡi liềm đỏ
Red Cross	Chữ thập đỏ
red guard	hồng vệ binh
red light	đèn đỏ
red line	lằn ranh đỏ
Red List	sách đỏ
red panda	gấu trúc đỏ
red panda	gấu trúc nhỏ
red panda	gấu mèo đỏ
Red River	sông Hồng
red scare	nỗi sợ cộng sản
red scare	nỗi sợ đỏ
Red Sea	biển Đỏ
Red Sea	Hồng Hải
Red Sea	Xích Hải
Red Square	quảng trường Đỏ
red state	tiểu bang đỏ
red state	bang đỏ
red wine	vang đỏ
red wine	rượu nho đỏ
red wine	rượu vang đỏ
red wolf	sói đỏ Bắc Mỹ
red yeast rice	gạo đỏ
red	đỏ
red-bellied piranha	piranha bụng đỏ
red-crowned crane	sếu Nhật Bản
red-eared slider	rùa tai đỏ
red-light district	phố đèn đỏ
red-tailed squirrel	sóc đuôi đỏ
redeem	cứu chuộc
redeem	chuộc
redhead	người tóc đỏ
redology	Hồng học
redshift	dịch chuyển đỏ
redstart	chim đỏ đuôi
reduce	giảm
reduce	bớt
reduce	giảm bớt
redundant	rườm rà
redundant	dư thừa
reduplication	láy âm
reed	sậy
reef	đá ngầm
reef	ám tiêu
reelect	tái cử
reelect	tái bầu
reelect	tái bầu cử
refactor	tái cấu trúc
referee	trọng tài
reference book	sách hướng dẫn
reference book	sách chỉ dẫn
reference	tham chiếu
referendum	trưng cầu dân ý
reflect	phản chiếu
reflex	phản xạ
reform	cải cách
Reformation	Cải cách Kháng nghị
Reformation	Cải cách Tin Lành
refrain	điệp khúc
refresh	làm mới
refresh	làm tươi
refrigerator	tủ lạnh
refugee	người tị nạn
refugee	người tỵ nạn
refugee	tị nạn
refugee	tỵ nạn
refund	tiền thối
refund	bồi hoàn
refuse	từ chối
refute	bác bỏ
regarding	về
regime	chế độ
regiment	trung đoàn
region	tỉnh
region	vùng
region	miền
regionalism	từ ngữ địa phương
register	sổ bộ
register	ghi danh
register	đăng ký
register	đăng kí
register	vào sổ
register	gây ấn tượng
regret	hối tiếc
regulation	chế độ
rehearse	tập dượt
reheat	hâm
Reich	đế chế
reign	triều đại
rein	dây cương
reincarnate	đầu thai
reindeer	tuần lộc
reject	từ chối
relations of production	quan hệ sản xuất
relationship	liên hệ
relationship	quan hệ
relative pronoun	đại từ quan hệ
relative	họ hàng
relative	người thân
relative	thân nhân
relax	bình tĩnh
relay	rơ-le
release	phiên bản
release	xả
release	thả
release	giải phóng
release	phát hành
reliable	tin cậy
reliable	đáng tin cậy
relic	di tích
relief	рhù điêu
religion	tôn giáo
religious studies	tôn giáo học
religious	sùng đạo
religious	mộ đạo
religious	tôn giáo
relish	ăn ngon miệng
rely	tin cậy
rely	dựa vào
remain	còn
remain	ở lại
remember	nhớ
remember	thuộc
remember	thuộc lòng
remind	nhắc nhở
remind	nhắc
remind	nhắc lại
remix	bản phối lại
remix	phối lại
remorse	hối hận
remote control	điều khiển từ xa
remote control	điều khiển
remote control	rì-mốt
remote sensing	viễn thám
remote	xa
remote	điều khiển từ xa
remote	remote
remote	rì-mốt
remove	chuyển đi
remove	dọn đi
renaissance	phục hưng
Renaissance	Phục Hưng
renewable energy	năng lượng tái tạo
renminbi	nhân dân tệ
renovate	tu sửa
rent	thuê
rent	mướn
repair	sửa chữa
repair	chửa
repair	sửa
repeat	lặp
repeat	lặp lại
repeatedly	lặp đi lặp lại
repentance	ăn năn
replace	thay thế
reply	trả lời
reply	hồi đáp
reply	hồi âm
report	báo cáo
reporter	phóng viên
reporter	nhà báo
reporter	ký giả
representation	sự đại diện
representative democracy	dân chủ đại diện
representative	tiêu biểu
representative	đại biểu
repress	đàn áp
repression	đàn áp
reprimand	lời quở trách
reproduction	sinh sản
reptile	động vật bò sát
reptile	bò sát
Republic of Armenia	Cộng hoà Armenia
Republic of Artsakh	Cộng hòa Artsakh
Republic of Austria	Cộng hòa Áo
Republic of Azerbaijan	Cộng hòa Azerbaijan
Republic of Belarus	Cộng hòa Belarus
Republic of Bulgaria	Cộng hòa Bulgaria
Republic of China	Trung Hoa Dân Quốc
Republic of China	Đài Loan
Republic of Croatia	Cộng hòa Croatia
Republic of Cuba	Cộng hòa Cuba
Republic of Cyprus	Cộng hòa Síp
Republic of Côte d'Ivoire	Cộng hòa Côte d'Ivoire
Republic of Estonia	Cộng hoà Estonia
Republic of Finland	Cộng hòa Phần Lan
Republic of Guinea-Bissau	Cộng hoà Guinea-Bissau
Republic of Hungary	Cộng hòa Hungary
Republic of Iceland	Cộng hòa Iceland
Republic of India	Cộng hoà Ấn Độ
Republic of Indonesia	Cộng hòa Indonesia
Republic of Iraq	Cộng hoà Iraq
Republic of Ireland	Cộng hòa Ireland
Republic of Korea	Đại Hàn Dân Quốc
Republic of Latvia	Cộng hòa Latvia
Republic of Lithuania	Cộng hòa Litva
Republic of Malta	Cộng hòa Malta
Republic of North Macedonia	Cộng hòa Bắc Ma-xê-đô-ni-a
Republic of Peru	Cộng hoà Pê-ru
Republic of Poland	Cộng hòa Ba Lan
Republic of Serbia	Cộng hòa Serbia
Republic of Singapore	Cộng hoà Singapore
Republic of Slovenia	Cộng hòa Slovenia
Republic of South Africa	Cộng hòa Nam Phi
Republic of South Sudan	Cộng hòa Nam Sudan
Republic of South Vietnam	Cộng hòa miền Nam Việt Nam
Republic of Texas	Cộng hòa Texas
Republic of the Congo	Cộng hòa Công-gô
Republic of the Philippines	Cộng hoà Phi Luật Tân
Republic of the Union of Myanmar	Cộng hòa Liên bang Myanmar
Republic of Turkey	Cộng hòa Thổ Nhĩ Kỳ
Republic of Vietnam	Việt Nam Cộng hòa
republic	cộng hòa
Republican Party	Đảng Cộng hòa
Republican	cộng hòa
Republican	đảng viên
reputation	danh giá
reputation	danh tiếng
request	thỉnh cầu
request	yêu cầu
requiescat in pace	yên nghỉ
require	yêu cầu
requirement	yêu cầu
rescue	cứu
research	nghiên cứu
researcher	nhà nghiên cứu
resentment	giận
reservation	đặt
reservation	đặt trước
reserve currency	tiền tệ dự trữ
reserve	đặt trước
reserve	giữ lại
reserve	bảo lưu
reserve	phòng bị
reserve	để dành
reservist	lính trừ bị
reservoir	hồ chứa nước
reservoir	kho
reside	cư trú
reside	định cư
reside	ở
reside	lưu trú
residence	nơi ở
resident	cư dân
resign	từ chức
resignation	từ chức
resilience	chống chịu
resin	nhựa
resin	mủ
resist	chống cự
resistance	sự chống cự
resistance	sự đề kháng
resistance	sức cản
resistor	điện trở
resistor	電阻
resolution	độ phân giải
resolution	nghị quyết
resort	khu nghỉ dưỡng
resound	vang vọng
resource	tài nguyên
respect	tôn trọng
respected	đáng kính
respected	được kính trọng
respective	tương ứng
respective	riêng từng (người
respective	cái
respective	…)
respirator	mặt nạ phòng độc
respirator	mặt nạ chống độc
respiratory system	hệ hô hấp
respiratory tract	đường hô hấp
response	trả lời
responsibility	trách nhiệm
responsible	có trách nhiệm
rest in peace	yên nghỉ
rest	nghĩ ngơi
rest	nghỉ ngơi
rest	ngơi
rest	rồi
restaurant	quán ăn
restaurant	tiệm ăn
restaurant	nhà ăn
restaurant	nhà hàng
restore	khôi phục
restrict	hạn chế
restriction	hạn chế
restrictive	hạn chế
result	kết quả
resume	tiếp tục lại
retail	bán lẻ
retaining wall	tường chắn đất
retch	ọe
reticle	tâm ngắm
reticle	chữ thập
reticulum	dạ tổ ong
retina	võng mạc
retire	về hưu
retire	thôi việc
retiree	người về hưu
retirement	nghỉ hưu
retirement	tuổi nghỉ hưu
retrieve	thu thập
return on investment	hoàn vốn đầu tư
return	về
return	trở lại
return	trở về
return	trả
return	trả lại
reunification	thống nhất
reuse	tái sử dụng
reuse	sử dụng lại
revanchism	chính sách trả thù
revanchism	chính sách phục thù
reveal	mặc khải
Revelation	Khải Huyền
revenge is a dish best served cold	quân tử trả thù
revenge is a dish best served cold	mười năm chưa muộn
revenge	sự trả thù
revenge	phục thù
revenge	trả thù
revenue	thu nhập
reverse engineering	kỹ nghệ đảo ngược
reverse	ngược
reverse	số de
reviewer	nhà phê bình
revise	ôn
revise	ôn tập
revisionism	chủ nghĩa xét lại
revolt	cuộc nổi dậy
revolt	cuộc khởi nghĩa
revolution	cuộc cách mạng
revolution	cách mạng
revolution	cách mệnh
revolutionary	nhà cách mạng
revolving door	cửa xoay
revolving door	cửa quay
reward	tặng thưởng
reward	thưởng
rewilding	tái hoang dã
Reykjavík	Rây-ki-a-vích
Reykjavík	Rê-ki-a-vích
rhabdomyolysis	tiêu cơ vân
rhenium	reni
rheology	lưu biến học
rheostat	biến trở
rhetoric	tu từ học
rheumatism	phong thấp
rheumatism	tê thấp
rheumatism	thấp khớp
rheumatology	khoa thấp khớp
Rhineland-Palatinate	Rai-lan Phan-xơ
rhinoceros	tê giác
Rhodes	Rhodes
rhodium	rođi
rhombus	hình thoi
rhubarb	đại hoàng
rhyme	vần
rhythm game	trò chơi nhịp điệu
rhythm section	phần nhịp điệu
rhythm	nhịp điệu
rhythmic gymnastics	thể dục nhịp điệu
rib cage	lồng ngực
rib	xương sườn
rib	sườn
ribbit	ộp ộp
ribbit	ộp oạp
ribbit	qua qua
ribbit	quạ quạ
ribbon	ruy-băng
ribosome	ribôxôm
rice cooker	nồi cơm điện
rice flour	bột gạo
rice hull	trấu
rice paddy herb	ngò ôm
rice paper	bánh tráng
rice rat	chuột gạo đồng lầy
rice rat	chuột gạo
rice vinegar	gạo dấm
rice	lúa
rich man	nhà giàu
rich	giàu
rickshaw	xe kéo
rickshaw	xe tay
ricochet	đạn nảy
riddle	câu đố
ride roughshod over	chà đạp
ride roughshod over	hà hiếp
ride	đi nhờ
ride	lái
ride	cưỡi
ride	cỡi
ridicule	nhạo báng
ridicule	giễu cợt
ridicule	chế nhạo
rifle	súng trường
Riga	Ri-ga
right angle	góc vuông
right ascension	xích kinh
right bank	hữu ngạn
right hand	tay phải
right now	ngay lập tức
right of way	lối ra vào
right of way	lối đi ưu tiên
right of way	quyền có lối đi
right of way	hành lang
right of way	lộ giới
right	phải
right	đúng
right	có lý
right	thẳng
right	cánh hữu
right	hữu khuynh
right	ở bên phải
right	phải không
right	quyền lợi
right	quyền
right	bên phải
rigid	cứng ngắc
rigid	cứng nhắc
rigid	cứng đầu
rigid	cứng cổ
rim	vành
rinderpest	bệnh rinderpest
rinderpest	dịch tả trâu bò
ring	vòng
ring	nhẫn
ring	cà rá
ring	gọi điện thoại
